year,state,month,number,date
2007,Maranhao,April,5,1/1/2007
2008,Maranhao,April,26,1/1/2008
2009,Maranhao,April,14,1/1/2009
2010,Maranhao,April,128,1/1/2010
2011,Maranhao,April,37,1/1/2011
2012,Maranhao,April,97,1/1/2012
2013,Maranhao,April,62,1/1/2013
2014,Maranhao,April,78,1/1/2014
2015,Maranhao,April,119,1/1/2015
2016,Maranhao,April,113,1/1/2016
2017,Maranhao,April,91,1/1/2017
1998,Maranhao,May,0,1/1/1998
1999,Maranhao,May,3,1/1/1999
2000,Maranhao,May,28,1/1/2000
2001,Maranhao,May,21,1/1/2001
2002,Maranhao,May,71,1/1/2002
2003,Maranhao,May,60,1/1/2003
2004,Maranhao,May,145,1/1/2004
2005,Maranhao,May,74,1/1/2005
2006,Maranhao,May,5,1/1/2006
2007,Maranhao,May,73,1/1/2007
2008,Maranhao,May,26,1/1/2008
2009,Maranhao,May,19,1/1/2009
2010,Maranhao,May,273,1/1/2010
2011,Maranhao,May,73,1/1/2011
2012,Maranhao,May,286,1/1/2012
2013,Maranhao,May,100,1/1/2013
2014,Maranhao,May,148,1/1/2014
2015,Maranhao,May,194,1/1/2015
2016,Maranhao,May,206,1/1/2016
2017,Maranhao,May,142,1/1/2017
1998,Maranhao,June,78,1/1/1998
1999,Maranhao,June,32,1/1/1999
2000,Maranhao,June,94,1/1/2000
2001,Maranhao,June,100,1/1/2001
2002,Maranhao,June,230,1/1/2002
2003,Maranhao,June,338,1/1/2003
2004,Maranhao,June,706,1/1/2004
2005,Maranhao,June,529,1/1/2005
2006,Maranhao,June,131,1/1/2006
2007,Maranhao,June,515,1/1/2007
2008,Maranhao,June,235,1/1/2008
2009,Maranhao,June,279,1/1/2009
2010,Maranhao,June,494,1/1/2010
2011,Maranhao,June,602,1/1/2011
2012,Maranhao,June,915,1/1/2012
2013,Maranhao,June,498,1/1/2013
2014,Maranhao,June,812,1/1/2014
2015,Maranhao,June,887,1/1/2015
2016,Maranhao,June,709,1/1/2016
2017,Maranhao,June,885,1/1/2017
1998,Maranhao,July,274,1/1/1998
1999,Maranhao,July,258,1/1/1999
2000,Maranhao,July,233,1/1/2000
2001,Maranhao,July,549,1/1/2001
2002,Maranhao,July,1.271,1/1/2002
2003,Maranhao,July,1.103,1/1/2003
2004,Maranhao,July,1.366,1/1/2004
2005,Maranhao,July,1.152,1/1/2005
2006,Maranhao,July,512,1/1/2006
2007,Maranhao,July,1.205,1/1/2007
2008,Maranhao,July,502,1/1/2008
2009,Maranhao,July,972,1/1/2009
2010,Maranhao,July,2.323,1/1/2010
2011,Maranhao,July,1.024,1/1/2011
2012,Maranhao,July,3.548,1/1/2012
2013,Maranhao,July,1.111,1/1/2013
2014,Maranhao,July,2.068,1/1/2014
2015,Maranhao,July,1.642,1/1/2015
2016,Maranhao,July,2.096,1/1/2016
2017,Maranhao,July,2.521,1/1/2017
1998,Maranhao,August,1.176,1/1/1998
1999,Maranhao,August,895,1/1/1999
2000,Maranhao,August,839,1/1/2000
2001,Maranhao,August,2.037,1/1/2001
2002,Maranhao,August,3.481,1/1/2002
2003,Maranhao,August,2.023,1/1/2003
2004,Maranhao,August,1.889,1/1/2004
2005,Maranhao,August,2.239,1/1/2005
2006,Maranhao,August,1.382,1/1/2006
2007,Maranhao,August,8.409,1/1/2007
2008,Maranhao,August,713,1/1/2008
2009,Maranhao,August,1.766,1/1/2009
2010,Maranhao,August,6.353,1/1/2010
2011,Maranhao,August,2.138,1/1/2011
2012,Maranhao,August,10.395,1/1/2012
2013,Maranhao,August,2.098,1/1/2013
2014,Maranhao,August,5.592,1/1/2014
2015,Maranhao,August,5.428,1/1/2015
2016,Maranhao,August,3.723,1/1/2016
2017,Maranhao,August,3.875,1/1/2017
1998,Maranhao,September,3.935,1/1/1998
1999,Maranhao,September,1.739,1/1/1999
2000,Maranhao,September,1.365,1/1/2000
2001,Maranhao,September,4.618,1/1/2001
2002,Maranhao,September,3.181,1/1/2002
2003,Maranhao,September,5.878,1/1/2003
2004,Maranhao,September,4.673,1/1/2004
2005,Maranhao,September,6.292,1/1/2005
2006,Maranhao,September,2.907,1/1/2006
2007,Maranhao,September,8.524,1/1/2007
2008,Maranhao,September,2.761,1/1/2008
2009,Maranhao,September,2.404,1/1/2009
2010,Maranhao,September,9.795,1/1/2010
2011,Maranhao,September,4.632,1/1/2011
2012,Maranhao,September,7.626,1/1/2012
2013,Maranhao,September,3.88,1/1/2013
2014,Maranhao,September,4.373,1/1/2014
2015,Maranhao,September,6.423,1/1/2015
2016,Maranhao,September,3.166,1/1/2016
2017,Maranhao,September,14.825,1/1/2017
1998,Maranhao,October,5.137,1/1/1998
1999,Maranhao,October,3.208,1/1/1999
2000,Maranhao,October,2.654,1/1/2000
2001,Maranhao,October,6.661,1/1/2001
2002,Maranhao,October,5.182,1/1/2002
2003,Maranhao,October,6.085,1/1/2003
2004,Maranhao,October,3.604,1/1/2004
2005,Maranhao,October,6.472,1/1/2005
2006,Maranhao,October,3.024,1/1/2006
2007,Maranhao,October,4.772,1/1/2007
2008,Maranhao,October,3.498,1/1/2008
2009,Maranhao,October,1.861,1/1/2009
2010,Maranhao,October,3.228,1/1/2010
2011,Maranhao,October,2.404,1/1/2011
2012,Maranhao,October,5,1/1/2012
2013,Maranhao,October,2.918,1/1/2013
2014,Maranhao,October,5.812,1/1/2014
2015,Maranhao,October,6.746,1/1/2015
2016,Maranhao,October,5.351,1/1/2016
2017,Maranhao,October,6.011,1/1/2017
1998,Maranhao,November,2.237,1/1/1998
1999,Maranhao,November,1.494,1/1/1999
2000,Maranhao,November,2.267,1/1/2000
2001,Maranhao,November,3.525,1/1/2001
2002,Maranhao,November,5.83,1/1/2002
2003,Maranhao,November,4.929,1/1/2003
2004,Maranhao,November,6.398,1/1/2004
2005,Maranhao,November,4.769,1/1/2005
2006,Maranhao,November,2.004,1/1/2006
2007,Maranhao,November,2.297,1/1/2007
2008,Maranhao,November,2.331,1/1/2008
2009,Maranhao,November,5,1/1/2009
2010,Maranhao,November,4.005,1/1/2010
2011,Maranhao,November,2.261,1/1/2011
2012,Maranhao,November,2.01,1/1/2012
2013,Maranhao,November,2.529,1/1/2013
2014,Maranhao,November,3.869,1/1/2014
2015,Maranhao,November,4.35,1/1/2015
2016,Maranhao,November,3.982,1/1/2016
2017,Maranhao,November,2.3,1/1/2017
1998,Maranhao,December,1.399,1/1/1998
1999,Maranhao,December,1.001,1/1/1999
2000,Maranhao,December,1.461,1/1/2000
2001,Maranhao,December,1.296,1/1/2001
2002,Maranhao,December,2.165,1/1/2002
2003,Maranhao,December,2.424,1/1/2003
2004,Maranhao,December,3.255,1/1/2004
2005,Maranhao,December,1.66,1/1/2005
2006,Maranhao,December,1.052,1/1/2006
2007,Maranhao,December,800,1/1/2007
2008,Maranhao,December,1.101,1/1/2008
2009,Maranhao,December,1.768,1/1/2009
2010,Maranhao,December,1.803,1/1/2010
2011,Maranhao,December,1.629,1/1/2011
2012,Maranhao,December,1.296,1/1/2012
2013,Maranhao,December,2.692,1/1/2013
2014,Maranhao,December,2.4,1/1/2014
2015,Maranhao,December,3.706,1/1/2015
2016,Maranhao,December,1.577,1/1/2016
1998,Mato Grosso,January,0,1/1/1998
1999,Mato Grosso,January,39,1/1/1999
2000,Mato Grosso,January,44,1/1/2000
2001,Mato Grosso,January,44,1/1/2001
2002,Mato Grosso,January,172,1/1/2002
2003,Mato Grosso,January,896,1/1/2003
2004,Mato Grosso,January,301,1/1/2004
2005,Mato Grosso,January,438,1/1/2005
2006,Mato Grosso,January,947,1/1/2006
2007,Mato Grosso,January,476,1/1/2007
2008,Mato Grosso,January,245,1/1/2008
2009,Mato Grosso,January,527,1/1/2009
2010,Mato Grosso,January,298,1/1/2010
2011,Mato Grosso,January,171,1/1/2011
2012,Mato Grosso,January,166,1/1/2012
2013,Mato Grosso,January,269,1/1/2013
2014,Mato Grosso,January,315,1/1/2014
2015,Mato Grosso,January,960,1/1/2015
2016,Mato Grosso,January,374,1/1/2016
2017,Mato Grosso,January,482,1/1/2017
1998,Mato Grosso,February,0,1/1/1998
1999,Mato Grosso,February,28,1/1/1999
2000,Mato Grosso,February,35,1/1/2000
2001,Mato Grosso,February,54,1/1/2001
2002,Mato Grosso,February,22,1/1/2002
2003,Mato Grosso,February,592,1/1/2003
2004,Mato Grosso,February,272,1/1/2004
2005,Mato Grosso,February,871,1/1/2005
2006,Mato Grosso,February,383,1/1/2006
2007,Mato Grosso,February,213,1/1/2007
2008,Mato Grosso,February,180,1/1/2008
2009,Mato Grosso,February,248,1/1/2009
2010,Mato Grosso,February,431,1/1/2010
2011,Mato Grosso,February,119,1/1/2011
2012,Mato Grosso,February,193,1/1/2012
2013,Mato Grosso,February,375,1/1/2013
2014,Mato Grosso,February,199,1/1/2014
2015,Mato Grosso,February,542,1/1/2015
2016,Mato Grosso,February,1.05,1/1/2016
2017,Mato Grosso,February,337,1/1/2017
1998,Mato Grosso,March,0,1/1/1998
1999,Mato Grosso,March,18,1/1/1999
2000,Mato Grosso,March,60,1/1/2000
2001,Mato Grosso,March,24,1/1/2001
2002,Mato Grosso,March,103,1/1/2002
2003,Mato Grosso,March,554,1/1/2003
2004,Mato Grosso,March,743,1/1/2004
2005,Mato Grosso,March,362,1/1/2005
2006,Mato Grosso,March,448,1/1/2006
2007,Mato Grosso,March,476,1/1/2007
2008,Mato Grosso,March,180,1/1/2008
2009,Mato Grosso,March,325,1/1/2009
2010,Mato Grosso,March,605,1/1/2010
2011,Mato Grosso,March,252,1/1/2011
2012,Mato Grosso,March,423,1/1/2012
2013,Mato Grosso,March,563,1/1/2013
2014,Mato Grosso,March,655,1/1/2014
2015,Mato Grosso,March,705,1/1/2015
2016,Mato Grosso,March,1.085,1/1/2016
2017,Mato Grosso,March,719,1/1/2017
1998,Mato Grosso,April,0,1/1/1998
1999,Mato Grosso,April,76,1/1/1999
2000,Mato Grosso,April,59,1/1/2000
2001,Mato Grosso,April,309,1/1/2001
2002,Mato Grosso,April,641,1/1/2002
2003,Mato Grosso,April,903,1/1/2003
2004,Mato Grosso,April,441,1/1/2004
2005,Mato Grosso,April,372,1/1/2005
2006,Mato Grosso,April,161,1/1/2006
2007,Mato Grosso,April,79,1/1/2007
2008,Mato Grosso,April,274,1/1/2008
2009,Mato Grosso,April,169,1/1/2009
2010,Mato Grosso,April,769,1/1/2010
2011,Mato Grosso,April,345,1/1/2011
2012,Mato Grosso,April,521,1/1/2012
2013,Mato Grosso,April,338,1/1/2013
2014,Mato Grosso,April,859,1/1/2014
2015,Mato Grosso,April,947,1/1/2015
2016,Mato Grosso,April,1.77,1/1/2016
2017,Mato Grosso,April,606,1/1/2017
1998,Mato Grosso,May,0,1/1/1998
1999,Mato Grosso,May,731,1/1/1999
2000,Mato Grosso,May,1.194,1/1/2000
2001,Mato Grosso,May,1.193,1/1/2001
2002,Mato Grosso,May,2.528,1/1/2002
2003,Mato Grosso,May,942,1/1/2003
2004,Mato Grosso,May,2.413,1/1/2004
2005,Mato Grosso,May,1.641,1/1/2005
2006,Mato Grosso,May,269,1/1/2006
2007,Mato Grosso,May,359,1/1/2007
2008,Mato Grosso,May,119,1/1/2008
2009,Mato Grosso,May,516,1/1/2009
2010,Mato Grosso,May,1.313,1/1/2010
2011,Mato Grosso,May,547,1/1/2011
2012,Mato Grosso,May,812,1/1/2012
2013,Mato Grosso,May,739,1/1/2013
2014,Mato Grosso,May,933,1/1/2014
2015,Mato Grosso,May,541,1/1/2015
2016,Mato Grosso,May,1.081,1/1/2016
2017,Mato Grosso,May,845,1/1/2017
1998,Mato Grosso,June,2.201,1/1/1998
1999,Mato Grosso,June,2.201,1/1/1999
2000,Mato Grosso,June,4.358,1/1/2000
2001,Mato Grosso,June,6.665,1/1/2001
2002,Mato Grosso,June,7.878,1/1/2002
2003,Mato Grosso,June,4.313,1/1/2003
2004,Mato Grosso,June,9.813,1/1/2004
2005,Mato Grosso,June,2.294,1/1/2005
2006,Mato Grosso,June,856,1/1/2006
2007,Mato Grosso,June,1.339,1/1/2007
2008,Mato Grosso,June,403,1/1/2008
2009,Mato Grosso,June,979,1/1/2009
2010,Mato Grosso,June,1.025,1/1/2010
2011,Mato Grosso,June,974,1/1/2011
2012,Mato Grosso,June,1.651,1/1/2012
2013,Mato Grosso,June,1.213,1/1/2013
2014,Mato Grosso,June,1.795,1/1/2014
2015,Mato Grosso,June,1.402,1/1/2015
2016,Mato Grosso,June,1.417,1/1/2016
2017,Mato Grosso,June,2.041,1/1/2017
1998,Mato Grosso,July,3.712,1/1/1998
1999,Mato Grosso,July,3.926,1/1/1999
2000,Mato Grosso,July,1.338,1/1/2000
2001,Mato Grosso,July,1.555,1/1/2001
2002,Mato Grosso,July,5.661,1/1/2002
2003,Mato Grosso,July,5.435,1/1/2003
2004,Mato Grosso,July,11.517,1/1/2004
2005,Mato Grosso,July,4.172,1/1/2005
2006,Mato Grosso,July,1.941,1/1/2006
2007,Mato Grosso,July,1.79,1/1/2007
2008,Mato Grosso,July,1.117,1/1/2008
2009,Mato Grosso,July,1.613,1/1/2009
2010,Mato Grosso,July,3.442,1/1/2010
2011,Mato Grosso,July,1.061,1/1/2011
2012,Mato Grosso,July,2.008,1/1/2012
2013,Mato Grosso,July,1.63,1/1/2013
2014,Mato Grosso,July,2.255,1/1/2014
2015,Mato Grosso,July,1.533,1/1/2015
2016,Mato Grosso,July,3.495,1/1/2016
2017,Mato Grosso,July,2.79,1/1/2017
1998,Mato Grosso,August,15.406,1/1/1998
1999,Mato Grosso,August,18.566,1/1/1999
2000,Mato Grosso,August,6.063,1/1/2000
2001,Mato Grosso,August,7.762,1/1/2001
2002,Mato Grosso,August,14.086,1/1/2002
2003,Mato Grosso,August,11.132,1/1/2003
2004,Mato Grosso,August,13.603,1/1/2004
2005,Mato Grosso,August,11.57,1/1/2005
2006,Mato Grosso,August,6.218,1/1/2006
2007,Mato Grosso,August,14.453,1/1/2007
2008,Mato Grosso,August,2.875,1/1/2008
2009,Mato Grosso,August,2.25,1/1/2009
2010,Mato Grosso,August,14.608,1/1/2010
2011,Mato Grosso,August,2.628,1/1/2011
2012,Mato Grosso,August,6.195,1/1/2012
2013,Mato Grosso,August,3.568,1/1/2013
2014,Mato Grosso,August,7.167,1/1/2014
2015,Mato Grosso,August,5.112,1/1/2015
2016,Mato Grosso,August,6.228,1/1/2016
2017,Mato Grosso,August,6.229,1/1/2017
1998,Mato Grosso,September,10.363,1/1/1998
1999,Mato Grosso,September,11.729,1/1/1999
2000,Mato Grosso,September,6.251,1/1/2000
2001,Mato Grosso,September,8.49,1/1/2001
2002,Mato Grosso,September,11.034,1/1/2002
2003,Mato Grosso,September,15.79,1/1/2003
2004,Mato Grosso,September,24.994,1/1/2004
2005,Mato Grosso,September,20.551,1/1/2005
2006,Mato Grosso,September,12.661,1/1/2006
2007,Mato Grosso,September,25.963,1/1/2007
2008,Mato Grosso,September,7.965,1/1/2008
2009,Mato Grosso,September,3.129,1/1/2009
2010,Mato Grosso,September,18.366,1/1/2010
2011,Mato Grosso,September,6.332,1/1/2011
2012,Mato Grosso,September,10.344,1/1/2012
2013,Mato Grosso,September,5.576,1/1/2013
2014,Mato Grosso,September,7.081,1/1/2014
2015,Mato Grosso,September,11.068,1/1/2015
2016,Mato Grosso,September,8.98,1/1/2016
2017,Mato Grosso,September,23.945,1/1/2017
1998,Mato Grosso,October,2.707,1/1/1998
1999,Mato Grosso,October,6.109,1/1/1999
2000,Mato Grosso,October,6.062,1/1/2000
2001,Mato Grosso,October,6.543,1/1/2001
2002,Mato Grosso,October,9.375,1/1/2002
2003,Mato Grosso,October,5.341,1/1/2003
2004,Mato Grosso,October,9.295,1/1/2004
2005,Mato Grosso,October,7.765,1/1/2005
2006,Mato Grosso,October,2.327,1/1/2006
2007,Mato Grosso,October,4.89,1/1/2007
2008,Mato Grosso,October,6.326,1/1/2008
2009,Mato Grosso,October,2.579,1/1/2009
2010,Mato Grosso,October,4.465,1/1/2010
2011,Mato Grosso,October,2.01,1/1/2011
2012,Mato Grosso,October,2.837,1/1/2012
2013,Mato Grosso,October,1.986,1/1/2013
2014,Mato Grosso,October,5.281,1/1/2014
2015,Mato Grosso,October,6.49,1/1/2015
2016,Mato Grosso,October,2.749,1/1/2016
2017,Mato Grosso,October,4.8,1/1/2017
1998,Mato Grosso,November,182,1/1/1998
1999,Mato Grosso,November,842,1/1/1999
2000,Mato Grosso,November,502,1/1/2000
2001,Mato Grosso,November,373,1/1/2001
2002,Mato Grosso,November,2.905,1/1/2002
2003,Mato Grosso,November,2.097,1/1/2003
2004,Mato Grosso,November,2.405,1/1/2004
2005,Mato Grosso,November,1.368,1/1/2005
2006,Mato Grosso,November,1.031,1/1/2006
2007,Mato Grosso,November,299,1/1/2007
2008,Mato Grosso,November,190,1/1/2008
2009,Mato Grosso,November,588,1/1/2009
2010,Mato Grosso,November,768,1/1/2010
2011,Mato Grosso,November,1.103,1/1/2011
2012,Mato Grosso,November,375,1/1/2012
2013,Mato Grosso,November,1.064,1/1/2013
2014,Mato Grosso,November,1.018,1/1/2014
2015,Mato Grosso,November,1.93,1/1/2015
2016,Mato Grosso,November,918,1/1/2016
2017,Mato Grosso,November,813,1/1/2017
1998,Mato Grosso,December,76,1/1/1998
1999,Mato Grosso,December,47,1/1/1999
2000,Mato Grosso,December,98,1/1/2000
2001,Mato Grosso,December,37,1/1/2001
2002,Mato Grosso,December,1.157,1/1/2002
2003,Mato Grosso,December,1.622,1/1/2003
2004,Mato Grosso,December,1.217,1/1/2004
2005,Mato Grosso,December,246,1/1/2005
2006,Mato Grosso,December,23,1/1/2006
2007,Mato Grosso,December,81,1/1/2007
2008,Mato Grosso,December,159,1/1/2008
2009,Mato Grosso,December,171,1/1/2009
2010,Mato Grosso,December,846,1/1/2010
2011,Mato Grosso,December,431,1/1/2011
2012,Mato Grosso,December,492,1/1/2012
2013,Mato Grosso,December,447,1/1/2013
2014,Mato Grosso,December,466,1/1/2014
2015,Mato Grosso,December,1.777,1/1/2015
2016,Mato Grosso,December,425,1/1/2016
1998,Mato Grosso,January,0,1/1/1998
1999,Mato Grosso,January,239,1/1/1999
2000,Mato Grosso,January,326,1/1/2000
2001,Mato Grosso,January,97,1/1/2001
2002,Mato Grosso,January,304,1/1/2002
2003,Mato Grosso,January,182,1/1/2003
2004,Mato Grosso,January,258,1/1/2004
2005,Mato Grosso,January,59,1/1/2005
2006,Mato Grosso,January,59,1/1/2006
2007,Mato Grosso,January,19,1/1/2007
2008,Mato Grosso,January,63,1/1/2008
2009,Mato Grosso,January,229,1/1/2009
2010,Mato Grosso,January,72,1/1/2010
2011,Mato Grosso,January,129,1/1/2011
2012,Mato Grosso,January,201,1/1/2012
2013,Mato Grosso,January,174,1/1/2013
2014,Mato Grosso,January,197,1/1/2014
2015,Mato Grosso,January,226,1/1/2015
2016,Mato Grosso,January,127,1/1/2016
2017,Mato Grosso,January,355,1/1/2017
1998,Mato Grosso,February,0,1/1/1998
1999,Mato Grosso,February,69,1/1/1999
2000,Mato Grosso,February,81,1/1/2000
2001,Mato Grosso,February,89,1/1/2001
2002,Mato Grosso,February,98,1/1/2002
2003,Mato Grosso,February,108,1/1/2003
2004,Mato Grosso,February,169,1/1/2004
2005,Mato Grosso,February,221,1/1/2005
2006,Mato Grosso,February,104,1/1/2006
2007,Mato Grosso,February,111,1/1/2007
2008,Mato Grosso,February,78,1/1/2008
2009,Mato Grosso,February,164,1/1/2009
2010,Mato Grosso,February,157,1/1/2010
2011,Mato Grosso,February,61,1/1/2011
2012,Mato Grosso,February,112,1/1/2012
2013,Mato Grosso,February,100,1/1/2013
2014,Mato Grosso,February,139,1/1/2014
2015,Mato Grosso,February,148,1/1/2015
2016,Mato Grosso,February,187,1/1/2016
2017,Mato Grosso,February,165,1/1/2017
1998,Mato Grosso,March,0,1/1/1998
1999,Mato Grosso,March,100,1/1/1999
2000,Mato Grosso,March,23,1/1/2000
2001,Mato Grosso,March,39,1/1/2001
2002,Mato Grosso,March,115,1/1/2002
2003,Mato Grosso,March,137,1/1/2003
2004,Mato Grosso,March,225,1/1/2004
2005,Mato Grosso,March,158,1/1/2005
2006,Mato Grosso,March,137,1/1/2006
2007,Mato Grosso,March,137,1/1/2007
2008,Mato Grosso,March,97,1/1/2008
2009,Mato Grosso,March,118,1/1/2009
2010,Mato Grosso,March,149,1/1/2010
2011,Mato Grosso,March,37,1/1/2011
2012,Mato Grosso,March,169,1/1/2012
2013,Mato Grosso,March,158,1/1/2013
2014,Mato Grosso,March,95,1/1/2014
2015,Mato Grosso,March,190,1/1/2015
2016,Mato Grosso,March,143,1/1/2016
2017,Mato Grosso,March,170,1/1/2017
1998,Mato Grosso,April,0,1/1/1998
1999,Mato Grosso,April,97,1/1/1999
2000,Mato Grosso,April,90,1/1/2000
2001,Mato Grosso,April,108,1/1/2001
2002,Mato Grosso,April,230,1/1/2002
2003,Mato Grosso,April,126,1/1/2003
2004,Mato Grosso,April,97,1/1/2004
2005,Mato Grosso,April,126,1/1/2005
2006,Mato Grosso,April,51,1/1/2006
2007,Mato Grosso,April,46,1/1/2007
2008,Mato Grosso,April,72,1/1/2008
2009,Mato Grosso,April,291,1/1/2009
2010,Mato Grosso,April,136,1/1/2010
2011,Mato Grosso,April,23,1/1/2011
2012,Mato Grosso,April,97,1/1/2012
2013,Mato Grosso,April,78,1/1/2013
2014,Mato Grosso,April,129,1/1/2014
2015,Mato Grosso,April,65,1/1/2015
2016,Mato Grosso,April,161,1/1/2016
2017,Mato Grosso,April,59,1/1/2017
1998,Mato Grosso,May,0,1/1/1998
1999,Mato Grosso,May,206,1/1/1999
2000,Mato Grosso,May,127,1/1/2000
2001,Mato Grosso,May,112,1/1/2001
2002,Mato Grosso,May,88,1/1/2002
2003,Mato Grosso,May,74,1/1/2003
2004,Mato Grosso,May,25,1/1/2004
2005,Mato Grosso,May,328,1/1/2005
2006,Mato Grosso,May,99,1/1/2006
2007,Mato Grosso,May,62,1/1/2007
2008,Mato Grosso,May,34,1/1/2008
2009,Mato Grosso,May,927,1/1/2009
2010,Mato Grosso,May,105,1/1/2010
2011,Mato Grosso,May,81,1/1/2011
2012,Mato Grosso,May,157,1/1/2012
2013,Mato Grosso,May,72,1/1/2013
2014,Mato Grosso,May,70,1/1/2014
2015,Mato Grosso,May,58,1/1/2015
2016,Mato Grosso,May,97,1/1/2016
2017,Mato Grosso,May,72,1/1/2017
1998,Mato Grosso,June,82,1/1/1998
1999,Mato Grosso,June,127,1/1/1999
2000,Mato Grosso,June,157,1/1/2000
2001,Mato Grosso,June,249,1/1/2001
2002,Mato Grosso,June,517,1/1/2002
2003,Mato Grosso,June,170,1/1/2003
2004,Mato Grosso,June,394,1/1/2004
2005,Mato Grosso,June,439,1/1/2005
2006,Mato Grosso,June,89,1/1/2006
2007,Mato Grosso,June,141,1/1/2007
2008,Mato Grosso,June,24,1/1/2008
2009,Mato Grosso,June,376,1/1/2009
2010,Mato Grosso,June,149,1/1/2010
2011,Mato Grosso,June,104,1/1/2011
2012,Mato Grosso,June,96,1/1/2012
2013,Mato Grosso,June,35,1/1/2013
2014,Mato Grosso,June,84,1/1/2014
2015,Mato Grosso,June,299,1/1/2015
2016,Mato Grosso,June,120,1/1/2016
2017,Mato Grosso,June,175,1/1/2017
1998,Mato Grosso,July,360,1/1/1998
1999,Mato Grosso,July,1.297,1/1/1999
2000,Mato Grosso,July,160,1/1/2000
2001,Mato Grosso,July,591,1/1/2001
2002,Mato Grosso,July,935,1/1/2002
2003,Mato Grosso,July,182,1/1/2003
2004,Mato Grosso,July,529,1/1/2004
2005,Mato Grosso,July,859,1/1/2005
2006,Mato Grosso,July,289,1/1/2006
2007,Mato Grosso,July,197,1/1/2007
2008,Mato Grosso,July,116,1/1/2008
2009,Mato Grosso,July,354,1/1/2009
2010,Mato Grosso,July,589,1/1/2010
2011,Mato Grosso,July,250,1/1/2011
2012,Mato Grosso,July,538,1/1/2012
2013,Mato Grosso,July,201,1/1/2013
2014,Mato Grosso,July,193,1/1/2014
2015,Mato Grosso,July,371,1/1/2015
2016,Mato Grosso,July,687,1/1/2016
2017,Mato Grosso,July,1.05,1/1/2017
1998,Mato Grosso,August,228,1/1/1998
1999,Mato Grosso,August,4.355,1/1/1999
2000,Mato Grosso,August,530,1/1/2000
2001,Mato Grosso,August,2.484,1/1/2001
2002,Mato Grosso,August,3.984,1/1/2002
2003,Mato Grosso,August,953,1/1/2003
2004,Mato Grosso,August,1.408,1/1/2004
2005,Mato Grosso,August,4.484,1/1/2005
2006,Mato Grosso,August,1.129,1/1/2006
2007,Mato Grosso,August,1.823,1/1/2007
